idx,task,reward
0,SQA_00000,0.29100000000000004
1,SQA_00001,0.264
2,SQA_00002,0.985
3,SQA_00003,0.276
4,SQA_00004,0.28559999999999997
5,SQA_00005,0.276
6,SQA_00006,0.9837999999999999
7,SQA_00007,0.976
8,SQA_00008,0.9712
9,SQA_00009,0.264
10,SQA_00010,0.3
11,SQA_00011,0.294
12,SQA_00012,0.9712
13,SQA_00013,0.9794285714285713
14,SQA_00014,0.28379999999999994
15,SQA_00015,0.29100000000000004
16,SQA_00016,0.9693999999999999
17,SQA_00017,0.294
18,SQA_00018,0.2712
19,SQA_00019,0.264
20,SQA_00020,0.28200000000000003
21,SQA_00021,0.28800000000000003
22,SQA_00022,0.988
23,SQA_00023,0.973
24,SQA_00024,0.28559999999999997
25,SQA_00025,1.0
26,SQA_00026,0.28559999999999997
27,SQA_00027,0.28559999999999997
28,SQA_00028,0.284
29,SQA_00029,0.266
30,SQA_00030,0.964
31,SQA_00031,0.29100000000000004
32,SQA_00032,0.2766
33,SQA_00033,0.9621999999999999
34,SQA_00034,0.2897142857142857
35,SQA_00035,0.2712
36,SQA_00036,0.976
37,SQA_00037,0.984
38,SQA_00038,0.2784
39,SQA_00039,0.267
40,SQA_00040,0.2964
41,SQA_00041,0.2712
42,SQA_00042,0.276
43,SQA_00043,0.2794285714285714
44,SQA_00044,0.3
45,SQA_00045,0.2964
46,SQA_00046,0.28559999999999997
47,SQA_00047,1.0
48,SQA_00048,0.3
49,SQA_00049,0.273
50,SQA_00050,0.276
51,SQA_00051,0.29100000000000004
52,SQA_00052,0.2794285714285714
53,SQA_00053,0.294
54,SQA_00054,0.9712
55,SQA_00055,0.276
56,SQA_00056,0.28559999999999997
57,SQA_00057,0.2892
58,SQA_00058,0.2712
59,SQA_00059,0.9794285714285713
60,SQA_00060,0.2712
61,SQA_00061,0.26914285714285713
62,SQA_00062,0.976
63,SQA_00063,0.3
64,SQA_00064,1.0
65,SQA_00065,0.298
66,SQA_00066,0.2784
67,SQA_00067,0.9568
68,SQA_00068,0.2766
69,SQA_00069,0.276
70,SQA_00070,0.294
71,SQA_00071,0.27685714285714286
72,SQA_00072,0.28379999999999994
73,SQA_00073,0.2712
74,SQA_00074,0.2955
75,SQA_00075,0.276
76,SQA_00076,0.273
77,SQA_00077,0.2514
78,SQA_00078,0.3
79,SQA_00079,0.294
80,SQA_00080,0.2622
81,SQA_00081,0.2717142857142857
82,SQA_00082,0.2676
83,SQA_00083,0.28200000000000003
84,SQA_00084,0.3
85,SQA_00085,0.2982
86,SQA_00086,0.9712
87,SQA_00087,0.273
88,SQA_00088,0.2712
89,SQA_00089,0.2802
90,SQA_00090,0.976
91,SQA_00091,0.284
92,SQA_00092,0.9765999999999999
93,SQA_00093,0.3
94,SQA_00094,0.29279999999999995
95,SQA_00095,0.3
96,SQA_00096,0.2784
97,SQA_00097,0.28800000000000003
98,SQA_00098,0.264
99,SQA_00099,0.964
100,SQA_00100,0.2712
101,SQA_00101,0.29774999999999996
102,SQA_00102,0.2622
103,SQA_00103,0.276
104,SQA_00104,0.976
105,SQA_00105,0.2478
106,SQA_00106,0.28200000000000003
107,SQA_00107,0.976
108,SQA_00108,0.2794285714285714
109,SQA_00109,0.273
110,SQA_00110,0.2712
111,SQA_00111,0.973
112,SQA_00112,0.982
113,SQA_00113,0.264
114,SQA_00114,0.2712
115,SQA_00115,0.2712
116,SQA_00116,0.976
117,SQA_00117,0.2955
118,SQA_00118,0.276
119,SQA_00119,0.9712
120,SQA_00120,0.2694
121,SQA_00121,0.276
122,SQA_00122,0.273
123,SQA_00123,0.2955
124,SQA_00124,0.2784
125,SQA_00125,0.2712
126,SQA_00126,0.294
127,SQA_00127,0.982
